container_type_id,name,volume,weight
9,HMS rest 5M3,5.0,500.0
27,Nieuw-West (SV)  Rest 5m3 TR Opl inst,5.0,700.0
41,Nieuw west Papier,4.0,650.0
48,Nieuw west rest 5m3,5.0,700.0
59,Bovengrondse Glas,3.0,350.0
109,nieuw-West Glas 1 4m3 KH TR OPL inst,4.0,600.0
138,Nieuw-West papier 5m3,5.0,650.0
139,Nieuw-west rest 5m3 Rubens,5.0,650.0
140,Algemene order,0.0,0.0
149,Oost stadsdeel ijburg Rubens KH Glas 1 5m3,5.0,600.0
160,Centrum Stadsdeel Glas 1 KH 3m3,3.0,500.0
206,Oost Stadsdeel Ijburg papier KH 5m3,5.0,600.0
210,centrum Stadsdeel Glas 3m3,3.0,500.0
214,Nieuwe west  3m3 belfast glas 1,3.0,500.0
215,Nieuw west  3m3 belfast papier ,3.0,500.0
216,Nieuwe west  3m3 belfast rest,3.0,550.0
244,Nieuw West rest  belfast 5m3 ,5.0,700.0
298,Kikker Rest ,3.0,350.0
320,Centrum amsterdam EVO Glas 4m3,4.0,600.0
321,Centrum Amsterdam EVO papier KH 4m3,4.0,600.0
322,Bovengronds Rest 3m3,3.0,350.0
332,Oost Stadsdeel KHDC  Rest 5M3,5.0,600.0
333,Oost stadsdeel KHDC Glas 1 4m3,4.0,500.0
334,ASW V-CONSYST METRO REST KH,5.0,700.0
335,ASW Rubens Rest KH 5m3,5.0,700.0
336,ASW KHDC Glas 1 KH 4M3,4.0,700.0
337,ASW KHDC Rest KH 5M3,5.0,700.0
339,ASW KHDC Papier KH 5M3,5.0,700.0
341,ASW KHDC Rest  KH 5m3,5.0,650.0
344,Oost stadsdeel KHDC papier 5M3,5.0,600.0
347,Oost stadsdeel DC Rest 3H 5m3,5.0,600.0
348,Oost stadsdeel DC Glas 1 3H 3m3,3.0,500.0
349,Oost stadsdeel DC papier 3H 5m3,5.0,600.0
350,Oost stadsdeel(IJburg) Rest Rubens KH 5m3,5.0,600.0
351,Oost stadsdeel Rubens Glas 1 KH 3m3,3.0,500.0
352,Oost stadsdeel Rubens Papier KH 5m3,5.0,600.0
353,Oost stadsdeel IJburg Rubens Rest KH 5m3,5.0,600.0
356,Centrum stadsdeel Glas 1 KH 3m3 Eigen zuil,3.0,500.0
357,Centrum stadsdeel Papier 1 KH Wolff 3m3,3.0,500.0
358,Centrum stadsdeel Evo Rest KH 5m3 ,5.0,600.0
359,Centrum stadsdeel EVO Papier KH 3m3,3.0,600.0
363,West stadsdeel V-Consyst rest 5m3,5.0,600.0
364,Zuid Oost stadsdeel Metro Glas 1 4m3,4.0,750.0
366,Zuidoost Stadsdeel Kliko Rest 5m3,5.0,650.0
372,West Stadsdeel V-Consyst Glas 1 4m3,4.0,600.0
373,West Stadsdeel V-Consyst Papier 5m3,5.0,500.0
376,Oost Stadsdeel V-consyst Rest 5m3,5.0,600.0
377,Oost Stadsdeel V-consyst Glas 1 4m3,4.0,600.0
378,Oost Stadsdeel V-consyst Papier 5m3,5.0,600.0
380,Oost Stadsdeel V-consyst Textiel 5m3,5.0,600.0
381,Oost Stadsdeel B-Waste Rest 5m3,5.0,600.0
382,Oost Stadsdeel B-Waste Glas 1 4m3,4.0,500.0
383,Oost Stadsdeel B-Waste Papier 5m3,5.0,600.0
391,Bovengrondse rest,3.0,350.0
393,ASW Rest Rubens 3m3 KH,3.0,700.0
394,ZuidOost Sulo Rest 5m3,5.0,600.0
401,ASW BOVENGRONDSE CONTAINER,3.0,350.0
403,Bovengronds Papier,3.0,350.0
404,Semi Ondergrondse OC ASW,3.0,500.0
406,Sulo Classic II,5.0,750.0
409,Bovengronds Kunststof,3.0,350.0
412,MCB Bovengrondse Glas,4.0,386.0
428,Centrum Evo L Rest 4m3,4.0,600.0
429,Centrum Evo L papier 4m3,4.0,600.0
430,Centrum Evo L Glas 4m3,4.0,600.0
433,Centrum Rest 4m3 EVO KH,4.0,600.0
441,BAUER 3M3 Rest Bovengrondse,3.0,350.0
456,Oost Belfast ED KH DB 5 m3 Rest,5.0,700.0
463,Centrum Glas 1 KH 3.7 m3 Evo-L,4.0,600.0
464,Centrum Papier KH 3.7 m3 Evol-L,4.0,600.0
470,MCB Bovengrondse Papier,4.0,386.0
471,MCB Bovengrondse Rest,4.0,386.0
472,Bovengrondse Collector Bammens Rest,3.0,350.0
473,Bovengrondse Collector Bammens Papier,3.0,350.0
474,Bovengrondse Collector Bammens Glas,3.0,350.0
495,Oost Stadsdeel V-consyst Rest 5m3 RAL7021,5.0,600.0
506,Utrecht Rhino perscontainer 5m3 Rest,5.0,1500.0
513,Bos en Lommer ondergrondse rest 7m3,7.0,750.0
519,ASW Bos & Lommer Belfast KHC 5M3 Rest 1340,5.0,700.0
531,Oost Stadsdeel V-consyst Glas 5m3 RAL5008,5.0,600.0
533,Oost Stadsdeel V-consyst Papier 5m3 RAL7021,5.0,600.0
534,Oost Stadsdeel V-consyst Papier 5m3 RAL5008,5.0,600.0
538,Rhino Pers Rest 5m3 Belfast KH ,5.0,1500.0
540,Oost stadsdeel V-consyst Rest 5m3  Grijsblauw RAL5008,5.0,600.0
566,ASW KHDC Rest 7m3,7.0,700.0
569,5TVG5 KH BEL 80 TROPL 5/7,5.0,650.0
572,5TV1423RKLIKO BEL 80 TROPL 4/6,5.0,700.0
580,Oost stadsdeel V-Consyst Kunststof,5.0,600.0
617,4TVG5 3HKZ  BEL 80 TROPL 4/6,4.0,650.0
