,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,well_id,stadsdeel,buurt_code,well_type,well_neighbourhood,well_address,well_longitude,well_latitude,postal_code
0,0,0,0,2829,F,F86a,Point,86a - Overtoomse Veld Noord,"Jan Evertsenstraat 717, Amsterdam",4.8357449,52.369816799999995,1061XZ
1,1,1,1,3235,F,F86b,Point,86b - Overtoomse Veld Zuid,"Derkinderenstraat 11, Amsterdam",4.8403859,52.36062329999999,1062BG
2,2,2,2,3493,F,F85a,Point,85a - Oostoever Sloterplas,"Uffizilaan 11, Amsterdam",4.8314285,52.366767100000004,1064WJ
3,3,3,3,3559,F,F85a,Point,85a - Oostoever Sloterplas,"Guggenheimlaan 59, Amsterdam",4.8294377,52.3678161,1064WC
4,4,4,4,3565,F,F85a,Point,85a - Oostoever Sloterplas,"Mezquitalaan 43, Amsterdam",4.8317051,52.369231799999994,1064NS
5,5,5,5,3567,F,F85a,Point,85a - Oostoever Sloterplas,"Mezquitalaan 43, Amsterdam",4.831717299999998,52.36926010000001,1064NS
6,6,6,6,3887,F,F82a,Point,82a - Osdorp Midden Noord,"Reimerswaalstraat 22, Amsterdam",4.7938636,52.363041700000004,1069AL
7,7,7,7,3889,F,F82a,Point,82a - Osdorp Midden Noord,"Reimerswaalstraat 22, Amsterdam",4.793853599999999,52.363060299999994,1069AL
8,8,8,8,3949,F,F88e,Point,88e - Nieuw Sloten Noordwest,"Oudenaardeplantsoen 83, Amsterdam",4.803186,52.345546899999995,1066TJ
9,9,9,9,4021,F,F88h,Point,88h - Nieuw Sloten Zuidwest,"Schaarbeekstraat 34, Amsterdam / Liederkerkeplantsoen",4.8069523,52.3429542,1066WH
10,10,10,10,4045,F,F88e,Point,88e - Nieuw Sloten Noordwest,"Blankenbergestraat 14, Amsterdam",4.8010989,52.3464729,1066TK
11,11,11,11,4047,F,F88e,Point,88e - Nieuw Sloten Noordwest,"Antwerpenbaan 8, Amsterdam",4.8052532999999995,52.345333600000004,1066SJ
12,12,12,12,4051,F,F85a,Point,85a - Oostoever Sloterplas,"Tretjakovlaan 122, Amsterdam",4.832228700000001,52.3662559,1064PR
13,13,13,13,4085,F,F88e,Point,88e - Nieuw Sloten Noordwest,"Oudenaardeplantsoen 13, Amsterdam",4.8018306,52.3477861,1066TH
14,14,14,14,4739,F,F89a,Point,89a - Louis Chrispijnbuurt,"Tourniairestraat 106, Amsterdam",4.824131280183792,52.35539384702362,1065NK
15,15,15,15,4745,F,F89a,Point,89a - Louis Chrispijnbuurt,"Louis Chrispijnstraat 12, Amsterdam / Winkelcentrum",4.826240599999998,52.35469910000001,1065HH
16,16,16,16,4779,F,F89a,Point,89a - Louis Chrispijnbuurt,"Van Mourik Broekmanstraat 103, Amsterdam",4.8216015,52.3574392,1065EV
17,17,17,17,4815,F,F89a,Point,89a - Louis Chrispijnbuurt,"Jacob Krausstraat 8, Amsterdam",4.82198216021061,52.3564574295985,1065GH
18,18,18,18,4817,F,F89a,Point,89a - Louis Chrispijnbuurt,"Jacob Krausstraat 8, Amsterdam",4.821980148553849,52.35647872556118,1065GH
19,19,19,19,4823,F,F88f,Point,88f - Nieuw Sloten Noordoost,"Bocholtstraat 116, Amsterdam",4.8138331,52.3465218,1066MK
20,20,20,20,4833,F,F88f,Point,88f - Nieuw Sloten Noordoost,"Hamontstraat 121, Amsterdam",4.811915829777718,52.34698093668757,1066LE
